Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent,Epic ID,Epic Title
DockerFile und GitLab Action verlinkung,"Die Modulleitung wünscht sich zur Bewertung unseres DevOps Systems sowie zum testen unserer Anwendung eine Dockerfile, in der unsere Software in einem Container angeschaut werden kann. Ebenso soll die zugehörige GitLab Action vermerkt werden. 

Diese vermerkung erfolgt durch Max (PO). Dafür braucht er aber entsprechende Informationen, die ihm bereitgestellt und vorher auch umgesetzt werden sein müssen.

Auschnitt aus Anforderungen: (Akzeptanzkriterien)
3.2 Verlinken Sie das Dockerfile (bzw. alle) und ggf. docker-compose.yml, die für die Erstellung der Anwendung genutzt werden. Geben Sie deren Benutzung an. Die Dozenten werden so eine lokale Kopie der Anwendung erstellen.

3.3 Verlinken Sie die GitLab Action, mit der das Projektergebnis automatisch bei jedem Push zum Master/Main Branch erstellt wird.

- Max entsprechende Informationen bereitgestellt
- siehe auch: https://docs.docker.com/reference/dockerfile/

Muss bis 13.06 fertig sein.",233,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/233,Closed,Vladislav Antonov,vladislav.antonov,Louis Westerheide,louis.westerheide,No,No,2024-06-13,2024-05-31 12:02:56,2024-07-16 19:20:26,2024-06-19 11:11:52,Abgabe 3,1,Team::DevOps,0,3600,,
Frontend Warnings beheben,"## Technical Debt

### Beschreibung:

Beim ausführen von npm run build im Frontend, erhält man zwei Warnings, welche gefixed werden sollen. Siehe auch Bild.

Zusätzlich soll der build Ordner im Frontend in der gitconfig aufgenommen werden, da gebaute Datieen nicht ins Repo gehören.

![image](/uploads/e75b30bc76937d6b8400dc71f73da9e3/image.png)

### Auswirkungen
- Wir nutzen Dinge die nicht benötigt werden
- redundante Rolle sollten gemieden werden siehe auch https://github.com/jsx-eslint/eslint-plugin-jsx-a11y/blob/main/docs/rules/no-redundant-roles.md

### Lösungsvorschläge
1. Siehe Bild und Link in Auswirkungen
2. füge frontend/build in gitconfig hinzu",235,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/235,Closed,Vladislav Antonov,vladislav.antonov,Dominique Fischer,dominique.fischer,No,No,,2024-06-03 10:45:50,2024-06-27 19:44:15,2024-06-27 19:44:15,Abgabe 3,3,"Team::FrontEnd,Technical Debt",0,2400,,
SonarQube Metriken Pipeline,"## User Story

### Beschreibung:  
**Als** Team

**möchte ich** eine Metriken Analyse unseres Codes erhalten

**um** Schwachstellen und Probleme zu erkennen

Dazu möchte ich eine entsrpechen pipeline, die dies umsetzt nur für den main.

### Weitere Notizen
- https://gitlab.dit.htwk-leipzig.de/htwk-software/htwkalender/-/blob/main/.gitlab-ci.yml?ref_type=heads#L93 
- es kann sich hierbei an dieser implementierung orientiert werden

### Akzeptanzkriterien
1. Sonarqube Pipe steht

### Testfälle (Nur von QA abhaken)
- [ ] Sonarqube erstellt Metriken analyse welche erstmal innerhalb Sonarqube",242,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/242,Closed,Vladislav Antonov,vladislav.antonov,Louis Westerheide,louis.westerheide,No,No,,2024-06-05 10:48:54,2024-07-16 19:20:13,2024-06-28 09:35:52,Abgabe 3,3,Team::DevOps,0,12600,,
Tests zu #93,"## Technical Debt

### Beschreibung:
Es wurden keine Tests zu dem Ticket #93 erstellt

### Auswirkungen
Daher fehlt uns die Testabdeckung.

### Lösungsvorschläge
1. Test erstellen, welche die Funktionalitäten abdeckt


**Siehe #186**",264,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/264,Closed,Max Mager,max.mager,Robert Hobelsberger,robert.hobelsberger,No,No,,2024-06-09 09:00:02,2024-07-11 17:08:43,2024-07-11 17:08:43,Abgabe 3,5,"Team::BackEnd,Technical Debt",0,67800,,
Tests zu #100,"## Technical Debt

### Beschreibung:
Es wurden keine Tests zu dem Ticket #100 erstellt

### Auswirkungen
Daher fehlt uns die Testabdeckung.

### Lösungsvorschläge
1. Test erstellen, welche die Funktionalitäten abdeckt

**Siehe #186**",265,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/265,Closed,Max Mager,max.mager,Artem Zakharevych,artem.zakharevych,No,No,,2024-06-09 09:02:29,2024-07-11 17:08:41,2024-07-11 17:08:41,Abgabe 3,2,"Team::FrontEnd,Technical Debt",0,45000,,
Test zu #92,"## Technical Debt

### Beschreibung:
Es wurden keine Tests zu dem Ticket #92 erstellt

### Auswirkungen
Daher fehlt uns die Testabdeckung.

### Lösungsvorschläge
1. [Test erstellen, welche die Funktionalitäten abdeckt]

**Siehe #186**",267,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/267,Closed,Max Mager,max.mager,Marie Schwabe,marie.schwabe,No,No,,2024-06-09 09:09:58,2024-07-11 17:08:36,2024-07-11 17:08:36,Abgabe 3,5,"Team::BackEnd,Technical Debt",0,50400,,
Tests zu #82,"## Technical Debt

### Beschreibung:
Es wurden keine Tests zu dem Ticket #82 erstellt

### Auswirkungen
Daher fehlt uns die Testabdeckung.

### Lösungsvorschläge
1. [Test erstellen, welche die Funktionalitäten abdeckt]

**Siehe #186**

Testfälle:
- [x] Stichproben Untersuchung auf Veränderungen und ob Tests wie erwartet laufen",268,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/268,Closed,Max Mager,max.mager,Dominique Fischer,dominique.fischer,No,No,,2024-06-09 09:11:13,2024-07-11 17:08:44,2024-07-11 17:08:44,Abgabe 3,2,"Team::FrontEnd,Technical Debt",0,15000,,
"Email senden, wenn Temp-Stelle in Datenbank hinzugefügt wird.","## User Story

### Beschreibung:  
**Als** Organisation

**möchten wir** nur korrekte Stellenangebote bei der DCNM-Stellenbörse anzeigen und dafür möchten wir kontrollieren, ob die Stelle richtig extrahiert wurde.

**um** sicherzustellen, dass keine falschen Informationen veröffentlicht werden.

### Weitere Notizen
- Das Design kommt aus dem Ticket #276. Hierbei geht es nur um die Versendung der E-Mail. Es soll noch **keine** Antwort verarbeitet werden. Zuerst sollte die E-Mail nur an eine E-Mail-Adresse von uns gehen. Inhaltlich sollte die E-Mail alle extrahierten Daten anzeigen. Das Design sollte in Zusammenarbeit mit dem Frontend erstellt werden.

### Akzeptanzkriterien

1. Es werden alle extrahierten Informationen gesendet.
2. Es existieren automatisierte Tests, die die Funktionalität überprüfen.

### Testfälle (Nur von QA abhaken)
- [x] Eingetragene Email in Email Komponente erhält entsprechende Email Benachrichtigung


### Testprotokoll

Tester\*in: Max Mager
Datum: 10.07.2024

bestanden

| Testfall | Erwartetes Ergebnis | Tatsächliches Ergebnis | Status | Anmerkungen |
|----------|---------------------|------------------------|--------|-------------|
| 1 | Email wird verschickt und kommt an | Email ist angekommen mit den richtigen Daten.  | bestanden | |",269,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/269,Closed,Max Mager,max.mager,Ilyass Essar Rhini,ilyass.essar_rhini,No,No,,2024-06-09 10:34:01,2024-07-11 17:09:01,2024-07-11 17:09:01,Abgabe 3,5,"Team::BackEnd,User Story",0,54900,,
Verarbeitung der Validations Ergebnisse.,"## User Story

### Beschreibung:  
**Als** Team

**möchten wir** gegebenes Feedback via E-Mail, benutzen, 

**um** die Genauigkeit des Webcrawlers zu verbessern

### Weitere Notizen
- Es soll die E-Mail empfangen werden können. Es wird der dazugehörige Job gefunden und erneut die Webseite gecrawlt. Nur für den Schritt, wo es an die OpenAI API geht, wird zusätzlich zu der reinen Website noch das Feedback eingearbeitet. Wenn als Antwort alles richtig zurückkommt, soll erstmal nichts gemacht werden.

### Akzeptanzkriterien

1. E-Mails können empfangen werden
2. Das Feedback wird verarbeitet und die Stelle wird aktualisiert
3. Die E-Mail wird automatisch mit dem richtigen Job verknüpft.
4. Falls die Antwort nicht verarbeitet werden, sollte eine Fehlermeldung gesendet werden.
5. Es wurden automatisierte Tests für die Funktionalität erstellt.

### Testfälle (Nur von QA abhaken)
- [x] Wenn QA Mail bekommt, kann diese Anpassungen in der Mail vornehmen und diese zurück an Absender schicken, woraufhin die Anpassung dann in der Oberfläche sichtbar wird
- [x] Wenn QA Mail bekommt, kann einfach bestätigt werden das es passt und der unveränderte Eintrag ist in der Oberfläche zu sehen
- [x] Wenn QA Mail bekommt und dann die Struktur komplett zerstört/keine Inhalte mitschickt, wirft Validator entsprechenden Fehler --> auch per Mail


### Testprotokoll

Tester\*in: Max Mager
Datum: 08.07.2024

Noch nicht bestanden

| Testfall | Erwartetes Ergebnis | Tatsächliches Ergebnis | Status | Anmerkungen |
|----------|---------------------|------------------------|--------|-------------|
| 1 | Anpassung werden per Mail geschickt und tauchen in Datenbank auf  | Daten wurden nur in 1 von 6 Fällen in der Datenbank geändert | nicht bestanden | |
| 2 | Es wird erkannt, dass keine Änderungen notwendig sind und alle Datenbleiben bestehen | Es werden keine Daten geändert| bestanden| |
| 3  | Es kommt ein Fehler zurück, wenn es nicht dem Format entspricht  | Fehler kam zurück| bestanden| |


### Testprotokoll 2

Tester\*in: Max Mager
Datum: 09.07.2024

Noch nicht bestanden

| Testfall | Erwartetes Ergebnis | Tatsächliches Ergebnis | Status | Anmerkungen |
|----------|---------------------|------------------------|--------|-------------|
| 1 | Anpassung werden per Mail geschickt und tauchen in Datenbank auf  | Daten wurden in der Datenbank geändert| bestanden | |
| 2 | Es wird erkannt, dass keine Änderungen notwendig sind und alle Datenbleiben bestehen | Es werden keine Daten geändert| bestanden| |
| 3  | Es kommt ein Fehler zurück, wenn es nicht dem Format entspricht  | Fehler kam zurück| bestanden| |",270,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/270,Closed,Max Mager,max.mager,Batbuyan Buyandelger,batbuyan.buyandelger,No,No,,2024-06-09 10:49:49,2024-07-11 17:09:00,2024-07-11 17:09:00,Abgabe 3,13,"Team::BackEnd,User Story",0,54000,,
"Methode finden die Aktualisierung prüft z.B. E-Tag, Hash (Mit Robert abstimmen)",,271,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/work_items/271,Closed,Thorben Dirk Stehling,thorben_dirk.stehling,"","",No,No,,2024-06-09 11:11:19,2024-06-28 20:21:39,2024-06-28 20:21:39,Abgabe 3,,,0,0,,
DB anpassen,,272,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/work_items/272,Closed,Thorben Dirk Stehling,thorben_dirk.stehling,"","",No,No,,2024-06-09 11:11:49,2024-06-28 20:21:54,2024-06-28 20:21:54,Abgabe 3,,,0,0,,
"Funktion für vergleich aktuell (E-Tag, Hash...) mit DB",,273,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/work_items/273,Closed,Thorben Dirk Stehling,thorben_dirk.stehling,"","",No,No,,2024-06-09 11:12:22,2024-06-28 20:23:04,2024-06-28 20:23:04,Abgabe 3,,,0,0,,
Falls Änderung -> in DB speichern,,274,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/work_items/274,Closed,Thorben Dirk Stehling,thorben_dirk.stehling,"","",No,No,,2024-06-09 11:13:10,2024-06-28 20:23:31,2024-06-28 20:23:31,Abgabe 3,,,0,0,,
Eventuell OpenAI aufruf anpassen,,275,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/work_items/275,Closed,Thorben Dirk Stehling,thorben_dirk.stehling,"","",No,No,,2024-06-09 11:13:56,2024-06-28 20:23:41,2024-06-28 20:23:41,Abgabe 3,,,0,0,,
Design Validationemails.,"## User Story

### Beschreibung:  
**Als** Team

**möchten wir** ein sinnvolles Design für die Validation der Stellenausschreibungen

**um** eine gute Nutzererfahrung für die Sekretariate zu schaffen, damit diese alle Stellen validieren.

### Weitere Notizen
- Im Ticket #269 werden die E-Mails verschickt. Dafür soll das Design entworfen werden. Es sollte leicht erkennbar sein, welche Daten extrahiert wurden. Ebenfalls sollte klar sein, wie auf die E-Mail geantwortet werden soll. Dabei sollte das Ticket in Zusammenarbeit mit #269 geschehen.

### Akzeptanzkriterien

1. Die Daten werden übersichtlich dargestellt
2. Es ist klar, wie auf die E-Mail geantwortet werden soll.

### Testfälle (Nur von QA abhaken)
- [x] Aus dem Text wird klar erkenntlich, welche Daten geändert werden sollen
- [x] Aus dem Text wird klar, warum diese E-Mail verschickt wurde",276,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/276,Closed,Max Mager,max.mager,"Lam Nguyen, Dominique Fischer","lam.nguyen, dominique.fischer",No,No,,2024-06-09 12:11:21,2024-07-11 17:08:59,2024-07-11 17:08:59,Abgabe 3,13,"Team::FrontEnd,User Story",0,12300,,
Merge Request Build Test,"## User Story

### Beschreibung:  
**Als** Team

**möchte ich** das beim starten eines merge und beim betätigen von commits eines bereits laufenden MRs, die build pipelines durchlaufen

**um** um zu prüfen ob das bauen erfolgreich ist, bevor es in den main kommt und nicht erst dort auffällt.

### Weitere Notizen
- keine

### Akzeptanzkriterien

1. MR Commits starten build pipeline für front und backend. (idealerweise nur wenn eine der beiden Komponenten betroffen ist sofern möglich)

### Testfälle (Nur von QA abhaken)
- [ ] reagiert auf testbranch bei start commit und bei neuen commits während mr. nur
- [ ] nur build fr und ba wird als stage gestartet
- [ ] blockiert mr wenn pipe nicht efolgreich durchgelaufen",277,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/277,Closed,Vladislav Antonov,vladislav.antonov,Louis Westerheide,louis.westerheide,No,No,,2024-06-09 12:14:05,2024-06-24 09:01:43,2024-06-24 09:01:43,Abgabe 3,2,Team::DevOps,0,3600,,
Testwebsite erstellen,"## User Story

### Beschreibung:

**Als** QA

**möchten wir** eine Testwebsite haben, welche ähnlich zu einer Seite der LSN Organisationen ist

**um** User Storys besser zu testen.

### Weitere Notizen

- Beispielsweise für das Ticket #98 müsste man eine Stelle aktualisieren können, um die Funktionalität zu überprüfen. Dafür benötigen wir eine einfache Seite, welche am besten zu großen Teil von z. B. der [UFZ](https://www.ufz.de/index.php?de=34276) kopiert wird. Es sollte eine Übersicht geben, wo ein paar wenige Jobs sind. Zu diesen sollte die jeweilige Unterseite existieren. Hier soll kein Wert auf Aussehen gelegt werden. Die Seite wird nur Team Intern benutzt.

### Akzeptanzkriterien

1. Es kann eine Website mit Stellenanzeigen lokal gestartet werden.
2. Es werden wenige Stellen in einer Übersicht angezeigt
3. Die Detailansicht ist vorhanden.

### Testfälle (Nur von QA abhaken)

- [x] Testfall 1: Ein extra Ordner mit Readme für die Testwebseite ist vorhanden, man kann die Seite starten und sie im Browser ansehen
- [x] Testfall 2a: Es werden 3 verschiedenen Stellen angezeigt
- [x] Testfall 2b: Eine Stelle wird als deutsche Version (einer Stelle aus 2a) angezeigt
- [x] Testfall 3: Die Detailansicht wird mit einem Mausklick angezeigt",279,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/279,Closed,Max Mager,max.mager,Dominique Fischer,dominique.fischer,No,No,,2024-06-09 12:30:53,2024-06-27 19:44:13,2024-06-27 19:44:13,Abgabe 3,5,"Team::FrontEnd,User Story",0,3600,,
Link zum jeweiligen Job anzeigen. (Frontend),"## User Story

### Beschreibung:  
**Als** Nutzer 

**möchte ich** zu der originalen Stellenausschreibung kommen.

**um** mich da zu bewerben.

### Weitere Notizen
- Der Link zu der jeweiligen Stelle soll angezeigt werden.

### Akzeptanzkriterien

1. Der Link wird angezeigt.
2. Es gibt automatische Tests die dies überprüfen

### Testfälle (Nur von QA abhaken)
- [ ] Jobtitel ist Hyperlink zur Originalstelle
- [ ] Link zur Originalstelle, wird sehr präsent dargestellt
- [ ] Wenn kein Link übergeben wird, funktioniert die Anzeige trotzdem


Durchgeführt von Max Mager

08.07

Bestanden

| Testfall | Erwartetes Ergebnis | Tatsächliches Ergebnis | Status | Anmerkungen |
|----------|---------------------|------------------------|--------|-------------|
| 1| Link zur Originalstelle vorhanden | Originalstelle über den Titel als auch über extra Text erreichbar | bestanden |  |
| 2|  Link zur Originalstelle, wird sehr präsent dargestellt | Durch 2 Möglichkeiten, um auf die Originalstelle zu kommen ist es leicht diesen Link zu finden| bestanden| |
| 3|  Wenn kein Link übergeben wird, funktioniert die Anzeige trotzdem| Wenn man eine Anzeige ohne Link hat führt diese einfach zu der DCNM-Stellenbörse selbst.| bestanden | |",280,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/280,Closed,Max Mager,max.mager,Artem Zakharevych,artem.zakharevych,No,No,,2024-06-09 12:41:04,2024-07-11 17:08:49,2024-07-11 17:08:49,Abgabe 3,3,"Team::FrontEnd,User Story",0,52200,,
Link zum jeweiligen Job anzeigen. (Backend),"## User Story

### Beschreibung:  
**Als** Nutzer

**möchte ich** den Link zur Originalstelle haben

**um** mich dort zu bewerben.

### Weitere Notizen
- Link sollte aus der Datenbank gezogen werden und bei Jobs mit übergeben werden. 
- Dafür müsste die API angepasst werden.

### Akzeptanzkriterien

1. Der Link wird über die API an das Frontend gegeben.
2. Es existieren automatisierte Tests für die Funktionalität

### Testfälle (Nur von QA abhaken)
- [x] Frontend und Backend arbeiten wie zuvor auch (nichts kaputt --> Da Änderungen nicht im Frontend sichtbar. Gegenissue das Frotnendseite umsetzt könnte dann prüfen ob Umsetzung so erfolgreich --> deswegen testen schwierig.)

### Testprotokoll

Tester\*in: Max Mager Datum: 05.07.2024

Qualität gut.

| Testfall | Erwartetes Ergebnis | Tatsächliches Ergebnis | Status | Anmerkungen |
|----------|---------------------|------------------------|--------|-------------|
| API Anfrage für Jobs überprüfen | Der Job besitzt einen Key Website welche den Key JobURL besitzt und dieser den Wert für die URL entpsrechend der Datenbank besitzt, im Testfall www.job1.com | Job.Website.JobURL = ""www.job1.com"" | bestanden | |",281,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/281,Closed,Max Mager,max.mager,Thorben Dirk Stehling,thorben_dirk.stehling,No,No,,2024-06-09 14:04:41,2024-07-11 17:08:50,2024-07-11 17:08:50,Abgabe 3,8,"Team::BackEnd,User Story",0,1800,,
